Name,Latitude,Longitude
Bishan,1.3507900000000745,103.85110000000009
Bukit Merah,1.2841700000000742,103.82306000000005
Bukit Timah,1.3404100000000199,103.77221000000009
Downtown Core,1.3771599483526997,103.95552993392594
Geylang,1.3114700000000425,103.88218000000006
Kallang,1.3333300000000463,103.86667000000006
Marina East,1.2957900000000677,103.89544000000006
Marina South,1.2785700000000588,103.85762000000005
Marine Parade,1.3030600000000732,103.90778000000006
Museum,1.2967200000000503,103.84900000000005
Newton,1.312180000000069,103.83912000000004
Novena,1.3191000000000486,103.84372000000008
Orchard,1.3011200000000258,103.83955000000009
Outram,1.2892410000000072,103.83500249999999
Queenstown,1.299660000000074,103.80172000000005
River Valley,1.293136591078245,103.8278319656131
Rochor,1.3041300000000433,103.85029000000009
Singapore River,1.286670000000072,103.85250000000008
Southern Islands,1.366670000000056,103.80000000000007
Straits View,1.2798626945358378,103.85359472544839
Tanglin,1.3166700000000446,103.81667000000004
Toa Payoh,1.3344800000000419,103.85108000000008
